SgnMonth,TotalBoomIDX,Monthly Growth in Commercial Housing Sales
Month,NHPI,S
2022-01,96.83,NA
2022-02,96.93,-19.3
2022-03,96.66,-22.7
2022-04,95.89,-29.5
2022-05,95.6,-31.5
2022-06,95.4,-28.9
2022-07,95.26,-28.8
2022-08,95.07,-27.9
2022-09,94.86,-26.3
2022-10,94.7,-26.1
2022-11,94.42,-26.6
2022-12,94.35,-26.7
2023-01,94.45,NA
2023-02,94.67,-0.1
2023-03,94.71,4.1
2023-04,94.78,8.8
2023-05,94.56,8.4
2023-06,94.06,1.1
2023-07,93.78,-1.5
2023-08,93.56,-3.2
2023-09,93.44,-4.6
2023-10,93.4,-4.9
2023-11,93.42,-5.2
2023-12,93.36,-6.5
2024-01,92.4,NA
2024-02,92.13,-29.3
2024-03,92.07,-27.6
2024-04,92.02,-28.3
2024-05,92.01,-27.9
2024-06,92.11,-25
